OG	FBgn	GeneSymbol	branch_id_1	branch_id_2	dist_bl	dist_node_num	branch_num_fg	branch_num_mg	is_fg	is_mf	is_mg	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
OG_10055	-	GSIB	Haoe|17	Hleu|49	0.2739	10	2	0	Y	N	N	0.9558	21280.7941	2.2992	2.8245	2.6257	0.0	0.8143	inf	2.2377	2.6657	1.0535	11.3429	0.0003	0.0003	0.0	2.8258	1.1248	11.579	2.789	0.0	4.9334	0.0001	0.0001	0.0	3.47	0.0	5.1744	2.0005	129606.6556	1.255	0.7818	15.6738	7.9906	14.8211	3.3013	2.999	0.9995	1.9995	0.0	0.0	0.0	2.9989	0.9995	1.9995	1.2931	0.0	1.2931	0.0	0.0	0.0	1.2931	0.0	1.2931	1.125	0.9487	0.1763	0.0637	0.0601	0.0036	1.0613	0.8886	0.1727	0.4636	0.2015	0.2621	0.091	0.0788	0.0122	0.3726	0.1227	0.2499
OG_10083	-	AAAA	Djun|7	Haoe|23	0.3973	6	2	0	Y	N	N	2.1145	0.0317	8.2176	6.1702	0.0022	5678.5334	1.5831	0.3917	4.4689	1.833	0.0206	10.3499	5.5904	0.0022	228.9092	1.3225	0.0236	6.6512	0.8668	0.6484	1.2595	0.906	1.0318	0.0403	0.8354	0.0603	1.4883	107.0188	1.0809	1.1627	-0.1225	11.2604	14.9825	29.8182	23.1741	2.7412	0.0254	2.7159	1.0	0.0004	0.9996	1.7412	0.025	1.7163	1.9979	0.9601	1.0378	0.9302	0.9249	0.0052	1.0678	0.0352	1.0325	1.4955	1.2331	0.2624	0.1789	0.1745	0.0044	1.3166	1.0586	0.258	2.3048	1.4808	0.824	1.0266	0.8964	0.1302	1.2782	0.5844	0.6938
OG_10083	-	AAAA	Haoe|23	Hwal|97	0.2028	5	2	0	Y	N	N	2.9133	1417.1474	3.2241	9456.9415	9001.0725	0.0	1.269	2847244.5879	2.7023	6.2068	4.2867	17.2035	58.7091	65.3889	0.0	3.9963	1.5674	17.6948	2.1305	0.003	5.3358	0.0062	0.0073	0.0026	3.1493	0.0	6.548	0.7007	1170.8028	-0.7501	0.8262	14.9825	6.8631	23.1741	8.9433	4.853	2.8535	1.9995	1.8546	1.8546	0.0	2.9984	0.9989	1.9995	1.9748	0.0017	1.9731	0.0019	0.0017	0.0002	1.9729	0.0	1.9729	0.7819	0.6656	0.1162	0.0316	0.0284	0.0032	0.7503	0.6373	0.113	0.9269	0.5571	0.3698	0.3004	0.232	0.0685	0.6265	0.3252	0.3013
OG_1008	FBgn0260660	Mp	Haoe|19	HdemHert|37	0.2386	6	2	0	Y	N	N	11.9733	6.4065	120875.6515	0.2554	0.2272	0.0	975.1047	475.0518	156378.7829	4.1744	3.7959	6.7912	0.4745	0.4994	0.0	4.572	4.1848	7.0611	0.3486	0.5925	0.0001	1.8582	2.1981	0.0002	0.0047	0.0088	0.0	0.2588	0.0001	-0.5298	-0.9469	38.1346	18.8641	61.2543	28.795	4.874	3.8718	1.0022	0.0538	0.0538	0.0	4.8203	3.8181	1.0022	2.0238	2.0236	0.0001	2.0016	2.0016	0.0	0.0222	0.0221	0.0001	1.1676	1.02	0.1476	0.1133	0.1076	0.0056	1.0543	0.9124	0.1419	5.8046	3.4154	2.3892	1.0772	0.9106	0.1666	4.7274	2.5048	2.2226
OG_1008	FBgn0260660	Mp	Haoe|19	Hheb|39	0.174	3	2	0	Y	N	N	5.1876	0.0129	21.7896	0.0303	0.0254	0.1782	5.857	0.0108	23.7704	2.3181	0.005	11.8663	0.0049	0.0022	0.2649	3.2553	0.0065	12.0431	0.4469	0.3874	0.5446	0.162	0.0879	1.4868	0.5558	0.6054	0.5066	574.2366	0.8547	1.3694	-0.0141	38.1346	7.0701	61.2543	13.615	2.0022	0.0035	1.9987	0.0012	0.0006	0.0007	2.001	0.0029	1.998	1.9772	1.066	0.9111	0.1982	0.1019	0.0963	1.7789	0.9641	0.8148	0.8637	0.6953	0.1684	0.249	0.2465	0.0025	0.6147	0.4488	0.1659	4.4246	2.7516	1.6731	1.2239	1.1591	0.0648	3.2007	1.5924	1.6083
OG_10093	FBgn0039113	udt	Djun|7	Haoe|23	0.2629	5	2	0	Y	N	N	5.2614	0.0083	49.4434	0.0809	0.0652	110.245	8.2566	0.0001	46.3637	5.2316	0.0101	37.2752	0.1237	0.1134	0.3101	5.6791	0.0	38.4196	0.9943	1.2252	0.7539	1.529	1.7404	0.0028	0.6878	0.358	0.8287	600.5649	0.5907	0.6543	-0.4921	13.8485	3.0451	46.0863	49.3125	1.0022	0.0017	1.0005	0.0019	0.0017	0.0002	1.0003	0.0	1.0003	2.6477	1.6645	0.9832	1.4836	1.4832	0.0003	1.1641	0.1813	0.9829	0.1916	0.1647	0.0268	0.0154	0.0146	0.0008	0.1761	0.1501	0.026	2.6628	1.3586	1.3042	0.9703	0.8522	0.1181	1.6925	0.5064	1.1861
OG_10114	-	CHD7	Djun|7	Haoe|23	0.3202	7	2	0	Y	N	N	1.0222	0.8765	2.2984	0.233	0.2745	0.0015	1.3911	2.5871	2.6315	1.5023	0.9331	4.9898	0.4442	0.4668	0.0051	1.6871	1.0249	5.2623	1.4696	1.0645	2.171	1.9069	1.7008	3.3833	1.2127	0.3962	1.9997	0.8728	1.1779	0.1107	0.6518	40.6224	64.303	125.8759	119.1629	6.4424	3.4401	3.0024	0.2833	0.2831	0.0002	6.1592	3.157	3.0022	15.7903	7.2503	8.54	7.5824	5.9345	1.6479	8.2079	1.3158	6.8921	4.2885	3.6868	0.6017	0.6377	0.6065	0.0312	3.6508	3.0803	0.5705	10.7443	6.8107	3.9336	3.9762	3.4892	0.4871	6.7681	3.3215	3.4465
OG_10114	-	CHD7	Haoe|23	Hhec|44	0.1363	6	2	0	Y	N	N	1.3998	0.0049	8.5246	0.2682	0.2521	0.0	1.3292	0.0	8.3139	1.3327	0.0045	8.5759	0.1303	0.1362	0.0	1.3687	0.0	8.6457	0.952	0.9068	1.006	0.486	0.5403	0.0371	1.0297	1.0189	1.0399	350.8029	0.9306	1.1023	-0.0667	64.303	16.037	119.1629	57.6496	2.0103	0.0057	2.0046	0.0057	0.0057	0.0	2.0046	0.0	2.0046	3.8034	1.9701	1.8333	0.2774	0.2751	0.0023	3.5261	1.695	1.831	1.5085	1.2747	0.2338	0.0438	0.042	0.0019	1.4646	1.2328	0.2319	3.9951	2.1727	1.8224	0.5707	0.5091	0.0616	3.4244	1.6636	1.7608
OG_10114	-	CHD7	Haoe|23	HburHwal|100	0.1438	4	2	0	Y	N	N	1.3002	0.7112	4.9964	1.198	1.1441	0.36	1.2137	0.5808	4.881	1.8986	1.1751	6.0548	1.0863	1.1177	0.0131	1.9613	1.1802	6.1389	1.4602	1.6521	1.2118	0.9068	0.9769	0.0363	1.6159	2.0321	1.2577	0.8971	0.5666	0.0523	-0.5452	64.303	11.4938	119.1629	27.9423	2.1789	1.1486	1.0303	0.0893	0.0892	0.0	2.0896	1.0593	1.0303	3.9547	2.5243	1.4304	0.5391	0.5374	0.0016	3.4156	1.9868	1.4288	1.1476	0.9775	0.1702	0.0822	0.0798	0.0023	1.0655	0.8976	0.1678	2.7082	1.5279	1.1803	0.5945	0.5501	0.0443	2.1137	0.9777	1.136
OG_10114	-	CHD7	Hdor|32	Hheb|43	0.0459	2	2	0	Y	N	N	2.5238	0.0006	46618.0839	0.0382	0.0344	1493.7763	2.4733	0.0	45836.8142	1.8839	0.0009	9.2304	0.0059	0.0057	0.0485	2.1378	0.0	9.2585	0.7464	1.3434	0.0002	0.1552	0.1656	0.0	0.8644	1.8024	0.0002	2778.5192	0.0001	1.2126	-0.5118	26.4014	23.7792	27.5544	44.0352	2.2015	0.0008	2.2007	0.0008	0.0008	0.0	2.2007	0.0	2.2007	1.0247	1.0246	0.0001	0.0354	0.0354	0.0	0.9893	0.9892	0.0001	1.1686	0.9302	0.2384	0.1392	0.1384	0.0007	1.0294	0.7917	0.2377	1.3728	0.7627	0.6101	0.2283	0.2139	0.0144	1.1445	0.5488	0.5957
OG_10114	-	CHD7	Hhec|44	HburHwal|100	0.1231	5	2	0	Y	N	N	2.2663	0.6269	5.6736	59.9709	1.9925	1997.355	1.7191	0.0053	5.1772	4.082	0.0256	23.2628	4.4973	0.1632	28.3752	4.0071	0.0001	22.469	1.8012	0.0409	4.1001	0.075	0.0819	0.0142	2.3309	0.0166	4.34	191.9204	76.7722	0.7522	0.9652	16.037	11.4938	57.6496	27.9423	1.3776	0.0071	1.3705	0.2318	0.0071	0.2247	1.1459	0.0	1.1458	1.9795	0.0255	1.954	0.0194	0.019	0.0004	1.9601	0.0065	1.9537	0.3375	0.2786	0.0589	0.0515	0.0436	0.0079	0.286	0.235	0.051	1.099	0.6224	0.4766	0.2581	0.2317	0.0264	0.8409	0.3908	0.4502
OG_10114	-	CHD7	Hric|79	Hwal|99	0.1559	8	2	0	Y	N	N	7.7515	0.1864	21.786	0.0639	0.0617	0.0	6.626	9.7629	21.1417	7.6962	0.0053	49.753	0.0052	0.0055	0.0	8.1209	0.0053	50.7005	0.9929	0.0286	2.2837	0.0807	0.0885	0.0114	1.2256	0.0005	2.3981	1705.3369	59.5974	1.0991	0.4947	18.9542	9.0967	62.4905	29.44	1.9964	0.0012	1.9952	0.0001	0.0001	0.0	1.9963	0.0011	1.9952	1.0223	0.0169	1.0054	0.0169	0.0167	0.0002	1.0054	0.0002	1.0052	0.2594	0.2193	0.0401	0.0136	0.0128	0.0007	0.2458	0.2065	0.0394	1.0296	0.5894	0.4402	0.2093	0.1882	0.0211	0.8203	0.4012	0.4191
OG_10123	-	JSN1	Hert|35	Hleu|54	0.3005	12	2	0	Y	N	N	inf	0.0	inf	inf	0.0	inf	0.0	0.0	0.0	23.2313	0.0	167.0068	345.5566	0.0	6688.2307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	inf	nan	1.3115	0.0	4.0	7.015	0.0	1.3403	1.9998	0.0	1.9998	1.9998	0.0	1.9998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0861	0.0741	0.012	0.0058	0.0055	0.0003	0.0803	0.0686	0.0117	0.0604	0.0174	0.0429	0.005	0.0046	0.0004	0.0554	0.0128	0.0426
OG_10123	-	JSN1	Hert|35	HconHsap|69	0.3035	14	2	0	Y	N	N	inf	0.0	inf	inf	0.0	inf	0.0	0.0	0.0	53.8457	0.0	385.0103	869.9307	0.0	15064.9442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	inf	nan	1.3116	0.0	4.0	3.0014	0.0	0.0069	1.9999	0.0	1.9999	1.9999	0.0	1.9999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0371	0.0319	0.0052	0.0023	0.0022	0.0001	0.0348	0.0298	0.0051	0.0223	0.0061	0.0162	0.0018	0.0015	0.0002	0.0205	0.0045	0.016
OG_10123	-	JSN1	Hleu|54	HconHsap|69	0.0817	5	2	0	Y	N	N	3135212.5725	0.191	18631343.8435	2.3236	2.317	0.0	3492101.0424	0.0	18651097.8299	44.8327	0.0	315.0348	0.0001	0.0001	0.0	45.8302	0.0	317.839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34011224.8644	5.0384	1.9673	0.0	7.015	3.0014	1.3403	0.0069	2.9996	0.0	2.9996	0.0	0.0	0.0	2.9996	0.0	2.9996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0669	0.0574	0.0095	0.0015	0.0014	0.0001	0.0655	0.056	0.0094	0.0503	0.0148	0.0355	0.0046	0.0043	0.0003	0.0457	0.0105	0.0352
OG_10123	-	JSN1	Hwal|94	Hxan|98	0.2655	8	2	0	Y	N	N	194.7578	56.0355	2109.1829	10.6432	6.5996	642.9538	652.3882	6343.3224	2208.2884	5.1457	2.4731	27.1229	0.6768	0.444	9.3236	6.6152	3.2247	28.2559	0.0264	0.0441	0.0129	0.0636	0.0673	0.0145	0.0101	0.0005	0.0128	1.3337	0.3806	0.5233	-0.0057	11.827	7.4932	13.2983	4.5651	2.3021	0.9865	1.3156	0.0749	0.0479	0.0271	2.2272	0.9386	1.2886	0.0202	0.0146	0.0056	0.0148	0.0146	0.0002	0.0054	0.0001	0.0053	0.4474	0.3989	0.0485	0.1107	0.1078	0.0029	0.3367	0.2911	0.0456	0.7637	0.3312	0.4325	0.2326	0.2164	0.0162	0.5311	0.1148	0.4163
OG_10129	-	ATE1	Djun|7	Hwal|98	0.4042	9	2	0	Y	N	N	3.5409	51.1937	7.0825	11.4671	209.7975	6.3818	2.3198	207.5128	9.6559	1.1513	0.5322	4.9676	3.9774	3.3973	16.6315	0.7209	0.0389	4.4625	0.3251	0.0104	0.7014	0.3469	0.0162	2.6061	0.3108	0.0002	0.4622	1.5143	56.4404	0.5168	0.2322	31.5572	14.0664	32.157	11.6566	2.5137	0.9998	1.514	1.1477	0.9373	0.2104	1.366	0.0624	1.3036	0.5833	0.0102	0.5732	0.2477	0.0101	0.2376	0.3356	0.0001	0.3355	2.1834	1.8787	0.3048	0.2886	0.2759	0.0126	1.8949	1.6027	0.2921	1.7941	0.9769	0.8172	0.7142	0.623	0.0912	1.0799	0.3539	0.726
OG_10129	-	ATE1	Haoe|23	Hhec|43	0.2273	5	2	0	Y	N	N	2.3599	0.0	10.2154	2230.2694	0.0	24392.9939	1.9297	0.0	8.9244	2.6826	0.0	19.2587	3.0792	0.0	90.8768	2.6281	0.0	17.0893	1.1367	0.0005	1.8852	0.0014	0.0012	0.0037	1.3619	0.0	1.9149	inf	5868.5815	1.077	0.4142	14.6167	7.8198	43.8731	9.2384	1.7851	0.0	1.7851	0.2477	0.0	0.2477	1.5375	0.0	1.5375	0.9977	0.0002	0.9975	0.0002	0.0002	0.0	0.9975	0.0	0.9975	0.6654	0.5728	0.0927	0.0804	0.0777	0.0027	0.585	0.495	0.09	0.8777	0.3485	0.5291	0.1453	0.1371	0.0082	0.7324	0.2115	0.5209
OG_10129	-	ATE1	Hhec|43	HdorHxan|103	0.0971	7	2	0	Y	N	N	0.7921	0.7607	3.1279	3.5225	3.3586	0.1132	0.6925	0.0	3.0927	2.4683	0.0009	17.3769	0.0097	0.0099	0.0	2.6933	0.0	17.6126	3.1162	0.0012	5.5555	0.0028	0.003	0.0	3.8893	0.0	5.695	3036.145	5697.2062	0.6036	0.4125	7.8198	9.4744	9.2384	8.8798	1.001	0.0003	1.0007	0.0003	0.0003	0.0	1.0007	0.0	1.0007	0.9936	0.0002	0.9934	0.0002	0.0002	0.0	0.9934	0.0	0.9934	0.4056	0.348	0.0576	0.034	0.0332	0.0008	0.3716	0.3147	0.0568	0.3188	0.14	0.1788	0.0634	0.059	0.0044	0.2554	0.081	0.1744
OG_10140	FBgn0034087	clu	Djun|7	Haoe|23	0.3214	6	2	0	Y	N	N	0.8752	0.7657	2.4385	0.1287	0.1538	0.0284	0.7217	0.6346	2.3979	1.5977	0.6227	8.9314	0.0792	0.0816	0.0355	1.9668	0.767	9.7448	1.8255	0.8133	3.6626	0.6156	0.5304	1.2478	2.7251	1.2085	4.0639	1.9066	2.4815	0.6538	2.4017	30.8918	24.5158	117.5379	143.5021	3.038	1.0452	1.9928	0.0295	0.0288	0.0007	3.0085	1.0164	1.9921	16.5638	4.7577	11.8061	2.3819	1.8087	0.5731	14.182	2.949	11.233	1.9015	1.6784	0.2231	0.3719	0.3532	0.0187	1.5296	1.3252	0.2044	9.0735	5.8501	3.2234	3.8693	3.4099	0.4593	5.2042	2.4401	2.7641
OG_10141	-	DERL2	Haoe|22	Hheb|39	0.1961	4	2	0	Y	N	N	1.6547	4.8216	5.0948	24.5312	25.3552	0.4487	1.4589	2.1274	5.2682	4.7988	0.4692	29.1144	2.5328	2.7776	0.0126	5.0469	0.1955	30.8998	2.9	0.0973	5.7145	0.1033	0.1095	0.0281	3.4595	0.0919	5.8654	11.049	58.4798	1.3874	0.3804	13.01	3.9958	20.1947	7.1079	2.1738	0.1804	1.9934	0.1133	0.1132	0.0	2.0605	0.0672	1.9933	2.0382	0.0343	2.0039	0.0121	0.0118	0.0003	2.0261	0.0224	2.0036	0.453	0.3845	0.0685	0.0447	0.0408	0.004	0.4083	0.3438	0.0645	0.7028	0.3521	0.3507	0.1172	0.1081	0.0091	0.5856	0.244	0.3416
OG_10144	-	PTC71	Djun|7	Hhec|41	0.3567	11	2	0	Y	N	N	1.9649	0.0	5.6632	0.3224	0.0	5.7976	1.445	0.0	5.1644	9.6569	0.0	81.2066	0.0072	0.0	0.2721	10.4935	0.0	82.6798	4.9146	0.0085	14.3394	0.0225	0.0195	0.0469	7.2618	0.0	16.0096	inf	874.71	0.0082	0.8412	4.7366	2.0	32.8907	6.6956	1.0018	0.0	1.0018	0.0001	0.0	0.0001	1.0017	0.0	1.0017	2.9236	0.0033	2.9202	0.0043	0.0033	0.001	2.9192	0.0	2.9192	0.1037	0.0914	0.0123	0.0083	0.0081	0.0002	0.0955	0.0833	0.0121	0.5949	0.3912	0.2037	0.1929	0.1716	0.0213	0.402	0.2197	0.1823
